"","name","price","ratings","numb"
"1","Google Pixel 6a 5G (Chalk, 6GB RAM, 128GB Storage)","30,490","4.0 out of 5 stars","1,333"
"2","(Renewed) Google Pixel 4a (Just Black, 6GB RAM, 128GB Storage)","16,499","3.3 out of 5 stars","661"
"3","(Renewed) Google Pixel 4a 5G (Just Black, 6GB RAM, 128GB Storage)","19,499","4.0 out of 5 stars","433"
"4","(Renewed) Google Pixel 4-64GB (Just Black)","15,999","4.1 out of 5 stars","597"
"5","(Renewed) Google Pixel 3a XL (Just Black, 64 GB) (4 GB RAM)","12,824","4.3 out of 5 stars","4"
"6","Google Pixel 6a 5G (Sage, 6GB RAM, 128GB Storage)","30,990","4.2 out of 5 stars","526"
"7","Google Pixel 7 5G (Snow, 8GB Ram 128GB Storage)","56,040","4.0 out of 5 stars","3"
"8","Google Pixel 4a (Just Black, 6GB RAM, 128GB Storage)","30,259","4.1 out of 5 stars","9,926"
"9","Google Pixel 6 (Black, 8GB RAM, 128GB Storage)","43,110","4.2 out of 5 stars","269"
"10","Google Pixel 3a XL (Just Black, 64 GB) (4 GB RAM)","19,000","4.1 out of 5 stars","1,163"
"11","Google Pixel 3 XL (Not Pink, 64 GB) (4 GB RAM)","20,999","4.1 out of 5 stars","1,163"
"12","Google Pixel 6 Pro 5G (Stromy Black, 12GB RAM, 128GB Storage)","60,990","3.9 out of 5 stars","1,459"
"13","Google Pixel 6 Pro (Sorta Sunny, 12GB RAM, 128GB Storage)","59,950","3.9 out of 5 stars","1,459"
"14","Google Pixel 6a (Charcoal, 128 GB) (6 GB RAM)","30,390","4.0 out of 5 stars","1,333"
"15","Google Pixel 6a 5G (Charcoal, 6GB RAM, 128GB Storage)","30,450","4.2 out of 5 stars","620"
"16","Google Pixel 7 Pro (Obsidian, 128 GB) (12 GB RAM)","79,800","4.3 out of 5 stars","137"
